15250,TRUE,"Gazin, 1933",,,,,,,,,,,,,,,,,,,,
15251,FALSE,"Schreber, 1777",,,,,,,,,,,,,,,,,,,,
15248,FALSE,"Linnaeus, 1758",,,,,,,,,,,,,,,,,,,,
22514,FALSE,"Fitzinger, 1835",Animalia,Vertebrata,Reptilia,Testudinata,Testudines,Cryptodira,Testudinidae,?Geochelone sp.,,,,,,,,,,,,
10135,TRUE,"Becker and White, 1981",Animalia,Vertebrata,Mammalia,Rodentia,?Geomys anzensis,,,,,,,,,,,,,,,
10137,TRUE,"White and Downs, 1961",Animalia,Vertebrata,Mammalia,Rodentia,?Geomys garbanii,,,,,,,,,,,,,,,
10134,TRUE,"Gidley, 1922",Animalia,Vertebrata,Mammalia,Rodentia,?Geomys minor,,,,,,,,,,,,,,,
7061,FALSE,"Rafinesque, 1817",Animalia,Vertebrata,Mammalia,?Geomys sp.,,,,,,,,,,,,,,,,
15370,TRUE,"(Owen, 1840)",,,,,,,,,,,,,,,,,,,,
13615,TRUE,"Owen, 1840",Animalia,Vertebrata,Mammalia,Xenarthra,Pilosa,?Glossotherium sp.,,,,,,,,,,,,,,
7062,TRUE,unknown,Animalia,Vertebrata,Mammalia,?Glyptodontidae,,,,,,,,,,,,,,,,
14184,FALSE,"Rafinesque, 1832",Animalia,Vertebrata,Reptilia,Testudinata,Testudines,Cryptodira,Testudinidae,?Gopherus sp.,,,,,,,,,,,,
19732,FALSE,"(Linnaeus, 1766)",Animalia,Vertebrata,Aves,Accipitriformes,Accipitridae,?Haliaeetus leucocephalus,,,,,,,,,,,,,,
13506,TRUE,"(Meade, 1945)",Animalia,Vertebrata,Mammalia,Artiodactyla,Camelidae,?Hemiauchenia blancoensis,,,,,,,,,,,,,,
13507,TRUE,"(Cope, 1893)",Animalia,Vertebrata,Mammalia,Artiodactyla,Camelidae,?Hemiauchenia macrocephala,,,,,,,,,,,,,,
7063,TRUE,"Gervais & Ameghino, 1880",Animalia,Vertebrata,Mammalia,Artiodactyla,Camelidae,?Hemiauchenia sp.,,,,,,,,,,,,,,
15352,TRUE,"(Merriam & Stock, 1925)",,,,,,,,,,,,,,,,,,,,
14124,TRUE,"(Merriam, 1918)",Animalia,Vertebrata,Mammalia,Carnivora,Felidae,Machairodontinae,?Homotherium idahoensis,,,,,,,,,,,,,
14125,TRUE,"Fabrini, 1890",Animalia,Vertebrata,Mammalia,Carnivora,Felidae,Machairodontinae,?Homotherium sp.,,,,,,,,,,,,,
14121,FALSE,"Gray, 1821",Animalia,Vertebrata,Mammalia,Carnivora,Carnivora incertae sedis,?Hyaenidae,,,,,,,,,,,,,,
15367,TRUE,"(Downey, 1970)",,,,,,,,,,,,,,,,,,,,
22626,FALSE,"(Shufeldt, 1891)",Animalia,Vertebrata,Aves,Accipitriformes,Accipitridae,?Hypomorphnus sodalis,,,,,,,,,,,,,,
15468,TRUE,"Merriam, 1918",,,,,,,,,,,,,,,,,,,,
13600,FALSE,"Brandt, 1855",Animalia,Vertebrata,Mammalia,?Lagomorpha,,,,,,,,,,,,,,,,
24689,FALSE,"Martynov, 1914",Animalia,Arthropoda,Insecta,Trichoptera,Limnephilidae,?Lenarchus sp.,,,,,,,,,,,,,,
13599,FALSE,"Fischer, 1817",Animalia,Vertebrata,Mammalia,?Leporidae,,,,,,,,,,,,,,,,
13604,FALSE,"Erxleben, 1777",Animalia,Vertebrata,Mammalia,Lagomorpha,?Lepus americanus,,,,,,,,,,,,,,,
23527,FALSE,"Gray, 1837",Animalia,Vertebrata,Mammalia,Lagomorpha,?Lepus californicus,,,,,,,,,,,,,,,
13603,FALSE,"Linnaeus, 1758",Animalia,Vertebrata,Mammalia,?Lepus sp.,,,,,,,,,,,,,,,,
13608,FALSE,"(Schreber, 1777)",Animalia,Vertebrata,Mammalia,Carnivora,Mustelidae/Mephitidae,Mustelidae,?Lontra canadensis,,,,,,,,,,,,,
15369,FALSE,"(Schreber, 1777)",,,,,,,,,,,,,,,,,,,,
10094,FALSE,"Kerr, 1792",Animalia,Vertebrata,Mammalia,Carnivora,Carnivora incertae sedis,?Lynx canadensis,,,,,,,,,,,,,,
10096,FALSE,"(Schreber, 1777)",Animalia,Vertebrata,Mammalia,Carnivora,Carnivora incertae sedis,?Lynx rufus,,,,,,,,,,,,,,
7064,TRUE,"(Kerr, 1792)",Animalia,Vertebrata,Mammalia,Proboscidea,Proboscidea incertae sedis,?Mammut americanum,,,,,,,,,,,,,,
13720,TRUE,"Blumenbach, 1799",Animalia,Vertebrata,Mammalia,Proboscidea,Proboscidea incertae sedis,?Mammut sp.,,,,,,,,,,,,,,
13578,TRUE,"(Falconer, 1857)",Animalia,Vertebrata,Mammalia,Proboscidea,Proboscidea incertae sedis,?Mammuthus columbi,,,,,,,,,,,,,,
15366,TRUE,"(Osborn, 1929)",,,,,,,,,,,,,,,,,,,,
7065,TRUE,"(Leidy, 1858)",Animalia,Vertebrata,Mammalia,Proboscidea,Proboscidea incertae sedis,?Mammuthus imperator,,,,,,,,,,,,,,
7066,TRUE,"(Osborn, 1922)",Animalia,Vertebrata,Mammalia,Proboscidea,Proboscidea incertae sedis,?Mammuthus jeffersonii,,,,,,,,,,,,,,
13577,TRUE,"Brookes, 1828",Animalia,Vertebrata,Mammalia,Proboscidea,Proboscidea incertae sedis,?Mammuthus sp.,,,,,,,,,,,,,,
13722,TRUE,"Hay, 1922",Animalia,Vertebrata,Mammalia,Proboscidea,Proboscidea incertae sedis,?Mammutidae,,,,,,,,,,,,,,
7785,FALSE,"Blumenbach, 1779",Animalia,Vertebrata,Mammalia,?Marmota,,,,,,,,,,,,,,,,
14127,FALSE,"Blumenbach, 1779",Animalia,Vertebrata,Mammalia,Rodentia,Sciuridae,Xerinae,?Marmota sp.,,,,,,,,,,,,,
7067,FALSE,"(Turton, 1806)",Animalia,Vertebrata,Mammalia,Carnivora,Carnivora incertae sedis,?Martes americana,,,,,,,,,,,,,,
13700,FALSE,"Pinel, 1792",Animalia,Vertebrata,Mammalia,Carnivora,Mustelidae/Mephitidae,Mustelidae,?Martes sp.,,,,,,,,,,,,,
13374,TRUE,"(Desmarest, 1822)",Animalia,Vertebrata,Mammalia,Xenarthra,Pilosa,?Megalonyx jeffersonii,,,,,,,,,,,,,,
13373,TRUE,"Harlan, 1825",Animalia,Vertebrata,Mammalia,Xenarthra,Pilosa,?Megalonyx sp.,,,,,,,,,,,,,,
7068,FALSE,"(Schreber, 1776)",Animalia,Vertebrata,Mammalia,Carnivora,Carnivora incertae sedis,?Mephitis mephitis,,,,,,,,,,,,,,
22649,FALSE,"Linnaeus, 1758",Animalia,Vertebrata,Aves,Anseriformes,Anatidae,Anatinae,Mergini,?Mergus sp.,,,,,,,,,,,,
7069,FALSE,"Schrank, 1798",Animalia,Vertebrata,Mammalia,?Microtus sp.,,,,,,,,,,,,,,,,
15304,TRUE,"Wilson, 1933",,,,,,,,,,,,,,,,,,,,
13642,FALSE,"Lichtenstein, 1831",Animalia,Vertebrata,Mammalia,Carnivora,Mustelidae/Mephitidae,Mustelidae,?Mustela frenata,,,,,,,,,,,,,
13641,FALSE,"Linnaeus, 1758",Animalia,Vertebrata,Mammalia,Carnivora,Mustelidae/Mephitidae,Mustelidae,?Mustela sp.,,,,,,,,,,,,,
7782,FALSE,unknown,Animalia,Vertebrata,Mammalia,?Mustelidae,,,,,,,,,,,,,,,,
14668,TRUE,"Gill, 1872",Animalia,Vertebrata,Mammalia,Xenarthra,Pilosa,?Mylodontidae sp.,,,,,,,,,,,,,,
13637,FALSE,"(LeConte, 1831)",Animalia,Vertebrata,Mammalia,Chiroptera,?Myotis lucifugus,,,,,,,,,,,,,,,
13622,TRUE,"Hibbard, 1939",Animalia,Vertebrata,Mammalia,Lagomorpha,Leporidae,?Nekrolagus sp.,,,,,,,,,,,,,,
7787,FALSE,"Say and Ord, 1825",Animalia,Vertebrata,Mammalia,Rodentia,?Neotoma,,,,,,,,,,,,,,,
7070,FALSE,"(Ord, 1815)",Animalia,Vertebrata,Mammalia,Rodentia,?Neotoma cinerea,,,,,,,,,,,,,,,
13463,TRUE,"(Hibbard, 1941)",Animalia,Vertebrata,Mammalia,Rodentia,?Neotoma quadriplicata,,,,,,,,,,,,,,,
13462,FALSE,"Say and Ord, 1825",Animalia,Vertebrata,Mammalia,Rodentia,?Neotoma sp.,,,,,,,,,,,,,,,
15271,TRUE,"(Gidley, 1922)",,,,,,,,,,,,,,,,,,,,
13617,TRUE,"(Sinclair, 1905)",Animalia,Vertebrata,Mammalia,Xenarthra,Pilosa,?Nothrotheriops shastensis,,,,,,,,,,,,,,
7071,TRUE,"Hoffstetter, 1954",Animalia,Vertebrata,Mammalia,?Nothrotheriops sp.,,,,,,,,,,,,,,,,
7072,FALSE,"(Rafinesque, 1817)",Animalia,Vertebrata,Mammalia,Artiodactyla,Cervidae,?Odocoileus hemionus,,,,,,,,,,,,,,
13479,FALSE,"Rafinesque, 1832",Animalia,Vertebrata,Mammalia,Artiodactyla,Cervidae,?Odocoileus sp.,,,,,,,,,,,,,,
13425,TRUE,"(Wilson, 1933)",Animalia,Vertebrata,Mammalia,Rodentia,?Ophiomys parvus,,,,,,,,,,,,,,,
13636,FALSE,"(de Blainville, 1816)",Animalia,Vertebrata,Mammalia,Artiodactyla,Artiodactyla Incertae sedis,?Oreamnos americanus,,,,,,,,,,,,,,
13620,FALSE,"Shaw, 1804",Animalia,Vertebrata,Mammalia,Artiodactyla,Artiodactyla Incertae sedis,?Ovis canadensis,,,,,,,,,,,,,,
13619,FALSE,"Nelson, 1884",Animalia,Vertebrata,Mammalia,Artiodactyla,Artiodactyla Incertae sedis,?Ovis dalli,,,,,,,,,,,,,,
7073,FALSE,"(Baird, 1852)",Animalia,Vertebrata,Mammalia,?Pappogeomys castanops,,,,,,,,,,,,,,,,
13614,TRUE,"(Owen, 1840)",Animalia,Vertebrata,Mammalia,Xenarthra,Pilosa,?Paramylodon harlani,,,,,,,,,,,,,,
13639,TRUE,"Jacobs, 1977",Animalia,Vertebrata,Mammalia,Rodentia,?Paronychomys sp.,,,,,,,,,,,,,,,
