id,value
Animalia_Vertebrata_Mammalia_Carnivora_Carnivora incertae sedis_?Procyon lotor,100
Animalia_Vertebrata_Mammalia_Rodentia_?Prodipodomys minor,100
Animalia_Vertebrata_Mammalia_Rodentia_?Prodipodomys sp.,100
Animalia_Vertebrata_Mammalia_Carnivora_Carnivora incertae sedis_?Puma lacustris,100
Animalia_Vertebrata_Mammalia_Artiodactyla_Cervidae_?Rangifer sp.,100
Animalia_Vertebrata_Mammalia_Artiodactyla_Cervidae_?Rangifer tarandus,100
Animalia_Vertebrata_Mammalia_Rodentia_Cricetidae_?Reithrodontomys sp.,100
Animalia_Vertebrata_Mammalia_?Rodentia,100
Animalia_Vertebrata_Mammalia_Lipotyphla_Soricomorpha_Talpidae_?Scapanus sp.,100
Animalia_Vertebrata_Mammalia_Rodentia_Sciuridae_?Sciurus sp.,100
Plantae_Tracheophyta_Spermatophyta_Angiospermae_Mesangiospermae_Eudicotyledoneae_Eudicotyledoneae incertae sedis_?Shepherdia,100
Animalia_Vertebrata_Mammalia_Rodentia_Cricetidae_Sigmodontinae_Sigmodon_?Sigmodon minor,100
Animalia_Vertebrata_Mammalia_Rodentia_?Sigmodon sp.,100
Animalia_Vertebrata_Mammalia_Carnivora_Felidae_?Smilodon sp.,100
Animalia_Vertebrata_Mammalia_Lipotyphla_Soricomorpha_?Sorex sp.,100
Animalia_Vertebrata_Mammalia_?Spermophilus lateralis,100
Animalia_Vertebrata_Mammalia_Rodentia_?Spermophilus parryii,100
Animalia_Vertebrata_Mammalia_Rodentia_?Spermophilus richardsonii,100
Animalia_Vertebrata_Mammalia_Rodentia_?Spermophilus russelli,100
Animalia_Vertebrata_Mammalia_Rodentia_?Spermophilus sp.,100
Animalia_Vertebrata_Mammalia_Rodentia_?Spermophilus tridecemlineatus,100
Animalia_Vertebrata_Mammalia_?Spilogale putorius,100
Animalia_Vertebrata_Mammalia_Proboscidea_Proboscidea incertae sedis_?Stegomastodon sp.,100
Animalia_Vertebrata_Mammalia_?Sus scrofa,100
Animalia_Vertebrata_Mammalia_Lagomorpha_Leporidae_?Sylvilagus nuttallii,100
Animalia_Vertebrata_Mammalia_?Sylvilagus sp.,100
Animalia_Vertebrata_Mammalia_Rodentia_Cricetidae_?Synaptomys sp.,100
Animalia_Vertebrata_Mammalia_Rodentia_Sciuridae_?Tamias sp.,100
Animalia_Vertebrata_Mammalia_?Tamias striatus,100
Animalia_Vertebrata_Mammalia_?Tamiasciurus hudsonicus,100
Animalia_Vertebrata_Mammalia_Perissodactyla_Tapiridae_?Tapirus sp.,100
Animalia_Vertebrata_Mammalia_Artiodactyla_Antilocapridae_?Tetrameryx sp.,100
Animalia_Vertebrata_Mammalia_Rodentia_?Thomomys sp.,100
Animalia_Vertebrata_Mammalia_Artiodactyla_Camelidae_?Titanotylopus sp.,100
Animalia_Vertebrata_Mammalia_Carnivora_Carnivora incertae sedis_?Urocyon sp.,100
Animalia_Vertebrata_Mammalia_Carnivora_Carnivora incertae sedis_?Ursidae,100
Animalia_Vertebrata_Mammalia_Carnivora_Carnivora incertae sedis_?Ursus,100
Animalia_Vertebrata_Mammalia_Carnivora_Carnivora incertae sedis_?Ursus americanus,100
Animalia_Vertebrata_Mammalia_Carnivora_Carnivora incertae sedis_?Ursus sp.,100
Animalia_Vertebrata_Mammalia_Carnivora_Carnivora incertae sedis_?Vulpes sp.,100
Animalia_Vertebrata_Mammalia_Carnivora_Carnivora incertae sedis_?Vulpes vulpes,100
Animalia_Mollusca_Gastropoda_[unassigned] Caenogastropoda,100
,100
Animalia_Arthropoda_Insecta_Coleoptera_Staphylinidae_Abdiunguis,100
Animalia_Arthropoda_Insecta_Coleoptera_Staphylinidae_Abdiunguis_Abdiunguis sp.,100
Plantae_Tracheophyta_Spermatophyta_Angiospermae_Mesangiospermae_Eudicotyledoneae_Gunneridae_Pentapetalae_Asteridae_Gentianidae_Campanulidae_Apiidae_Dipsacales_Caprifoliaceae_Caprifoliaceae subf. Linnaeoideae_Abelia,100
Plantae_Tracheophyta_Spermatophyta_Pan-Coniferae_Coniferae_Pinaceae_Pinaceae (vesiculate)_Abies,100
Plantae_Tracheophyta_Spermatophyta_Pan-Coniferae_Coniferae_Pinaceae_Pinaceae (vesiculate)_Abies_Abies alba,100
Plantae_Tracheophyta_Spermatophyta_Pan-Coniferae_Coniferae_Pinaceae_Pinaceae (vesiculate)_Abies_Abies balsamea,100
Plantae_Tracheophyta_Spermatophyta_Pan-Coniferae_Coniferae_Pinaceae_Pinaceae (vesiculate)_Abies_Abies fargesii,100
Plantae_Tracheophyta_Spermatophyta_Pan-Coniferae_Coniferae_Pinaceae_Pinaceae (vesiculate)_Abies_Abies lasiocarpa,100
Plantae_Tracheophyta_Spermatophyta_Pan-Coniferae_Coniferae_Pinaceae_Pinaceae (vesiculate)_Abies_Abies marocana,100
,100
Plantae_Tracheophyta_Spermatophyta_Pan-Coniferae_Coniferae_Pinaceae_Pinaceae (vesiculate)_Abies_Abies nordmanniana,100
Plantae_Tracheophyta_Spermatophyta_Pan-Coniferae_Coniferae_Pinaceae_Pinaceae (vesiculate)_Abies_Abies sibirica,100
Plantae_Tracheophyta_Spermatophyta_Pan-Coniferae_Coniferae_Pinaceae_Pinaceae (vesiculate)_Abies_Abies sp.,100
Plantae_Tracheophyta_Spermatophyta_Pan-Coniferae_Coniferae_Pinaceae_Pinaceae (vesiculate)_Abies_Abies undiff.,100
Animalia_Vertebrata_Mammalia_Rodentia_Abrocomidae_Abrocoma,100
Animalia_Vertebrata_Mammalia_Rodentia_Abrocomidae,100
Plantae_Tracheophyta_Spermatophyta_Angiospermae_Mesangiospermae_Eudicotyledoneae_Gunneridae_Pentapetalae_Caryophyllales_Nyctaginaceae_Abronia,100
Plantae_Tracheophyta_Spermatophyta_Angiospermae_Mesangiospermae_Eudicotyledoneae_Gunneridae_Pentapetalae_Caryophyllales_Nyctaginaceae_Abronia_Abronia latifolia,100
Plantae_Tracheophyta_Spermatophyta_Angiospermae_Mesangiospermae_Eudicotyledoneae_Gunneridae_Pentapetalae_Rosidae_Malvidae_Malvales_Malvaceae_Malvaceae subf. Malvoideae_Abutilon,100
Plantae_Tracheophyta_Spermatophyta_Angiospermae_Mesangiospermae_Eudicotyledoneae_Gunneridae_Pentapetalae_Rosidae_Malvidae_Malvales_Malvaceae_Malvaceae subf. Malvoideae_Abutilon_Abutilon incanum_Abutilon cf. A. incanum,100
Plantae_Tracheophyta_Spermatophyta_Angiospermae_Mesangiospermae_Eudicotyledoneae_Gunneridae_Pentapetalae_Rosidae_Malvidae_Malvales_Malvaceae_Malvaceae subf. Malvoideae_Abutilon_Abutilon incanum,100
Plantae_Tracheophyta_Spermatophyta_Angiospermae_Mesangiospermae_Eudicotyledoneae_Gunneridae_Pentapetalae_Rosidae_Malvidae_Malvales_Malvaceae_Malvaceae subf. Malvoideae_Abutilon_Abutilon palmeri,100
Plantae_Tracheophyta_Spermatophyta_Angiospermae_Mesangiospermae_Eudicotyledoneae_Gunneridae_Pentapetalae_Rosidae_Malvidae_Malvales_Malvaceae_Malvaceae subf. Malvoideae_Abutilon_Abutilon sp.,100
Plantae_Tracheophyta_Spermatophyta_Angiospermae_Mesangiospermae_Eudicotyledoneae_Gunneridae_Pentapetalae_Rosidae_Malvidae_Malvales_Malvaceae_Abutilon-type,100
Plantae_Tracheophyta_Spermatophyta_Angiospermae_Mesangiospermae_Eudicotyledoneae_Gunneridae_Pentapetalae_Rosidae_Fabidae_Fabales_Fabaceae_Fabaceae subf. Mimosoideae_Acacia,100
Plantae_Tracheophyta_Spermatophyta_Angiospermae_Mesangiospermae_Eudicotyledoneae_Gunneridae_Pentapetalae_Rosidae_Fabidae_Fabales_Fabaceae_Fabaceae subf. Mimosoideae_Acacia_Acacia (type I),100
Plantae_Tracheophyta_Spermatophyta_Angiospermae_Mesangiospermae_Eudicotyledoneae_Gunneridae_Pentapetalae_Rosidae_Fabidae_Fabales_Fabaceae_Fabaceae subf. Mimosoideae_Acacia_Acacia (type III),100
Plantae_Tracheophyta_Spermatophyta_Angiospermae_Mesangiospermae_Eudicotyledoneae_Gunneridae_Pentapetalae_Rosidae_Fabidae_Fabales_Fabaceae_Fabaceae subf. Mimosoideae_Acacia_Acacia greggii,100
Plantae_Tracheophyta_Spermatophyta_Angiospermae_Mesangiospermae_Eudicotyledoneae_Gunneridae_Pentapetalae_Rosidae_Fabidae_Fabales_Fabaceae_Fabaceae subf. Mimosoideae_Acacia_Acacia sp.,100
Plantae_Tracheophyta_Spermatophyta_Angiospermae_Mesangiospermae_Eudicotyledoneae_Gunneridae_Pentapetalae_Rosidae_Fabidae_Fabales_Fabaceae_Fabaceae subf. Mimosoideae_Acacia/Albizia,100
Plantae_Tracheophyta_Spermatophyta_Angiospermae_Mesangiospermae_Eudicotyledoneae_Gunneridae_Pentapetalae_Rosidae_Fabidae_Fabales_Fabaceae_Fabaceae subf. Mimosoideae_Acacia-type,100
Plantae_Tracheophyta_Spermatophyta_Angiospermae_Mesangiospermae_Eudicotyledoneae_Gunneridae_Pentapetalae_Rosidae_Fabidae_Rosales_Rosaceae_Acaena,100
Plantae_Tracheophyta_Spermatophyta_Angiospermae_Mesangiospermae_Eudicotyledoneae_Gunneridae_Pentapetalae_Rosidae_Fabidae_Rosales_Rosaceae_Acaena-type,100
Animalia_Arthropoda_Insecta_Coleoptera_Curculionidae_Acalles,100
Animalia_Arthropoda_Insecta_Coleoptera_Curculionidae_Acalles_Acalles cf. A. carinatus,100
Plantae_Tracheophyta_Spermatophyta_Angiospermae_Mesangiospermae_Eudicotyledoneae_Gunneridae_Pentapetalae_Rosidae_Fabidae_Malpighiales_Euphorbiaceae_Acalypha,100
Plantae_Tracheophyta_Spermatophyta_Angiospermae_Mesangiospermae_Eudicotyledoneae_Gunneridae_Pentapetalae_Rosidae_Fabidae_Malpighiales_Euphorbiaceae_Acalypha_Acalypha (large),100
Plantae_Tracheophyta_Spermatophyta_Angiospermae_Mesangiospermae_Eudicotyledoneae_Gunneridae_Pentapetalae_Rosidae_Fabidae_Malpighiales_Euphorbiaceae_Acalypha_Acalypha (type 2),100
Plantae_Tracheophyta_Spermatophyta_Angiospermae_Mesangiospermae_Eudicotyledoneae_Gunneridae_Pentapetalae_Rosidae_Fabidae_Malpighiales_Euphorbiaceae_Acalypha_Acalypha californica,100
Plantae_Tracheophyta_Spermatophyta_Angiospermae_Mesangiospermae_Eudicotyledoneae_Gunneridae_Pentapetalae_Rosidae_Fabidae_Malpighiales_Euphorbiaceae_Acalypha_Acalypha cf. A. rhomboidea,100
Plantae_Tracheophyta_Spermatophyta_Angiospermae_Mesangiospermae_Eudicotyledoneae_Gunneridae_Pentapetalae_Rosidae_Fabidae_Malpighiales_Euphorbiaceae_Acalypha_Acalypha sp.,100
Plantae_Tracheophyta_Spermatophyta_Angiospermae_Mesangiospermae_Eudicotyledoneae_Gunneridae_Pentapetalae_Rosidae_Fabidae_Malpighiales_Euphorbiaceae_Acalypha_Acalypha undiff.,100
Plantae_Tracheophyta_Spermatophyta_Angiospermae_Mesangiospermae_Eudicotyledoneae_Gunneridae_Pentapetalae_Rosidae_Fabidae_Malpighiales_Euphorbiaceae_Acalypha-type,100
Animalia_Arthropoda_Insecta_Coleoptera_Curculionidae_Acalyptus,100
Animalia_Arthropoda_Insecta_Coleoptera_Curculionidae_Acalyptus_Acalyptus carpini,100
Animalia_Arthropoda_Insecta_Coleoptera_Curculionidae_Acalyptus_Acalyptus cf. A. carpini,100
Plantae_Tracheophyta_Spermatophyta_Angiospermae_Mesangiospermae_Eudicotyledoneae_Gunneridae_Pentapetalae_Asteridae_Gentianidae_Garryidae_Lamiidae_Lamiales_Acanthaceae,100
Plantae_Tracheophyta_Spermatophyta_Angiospermae_Mesangiospermae_Eudicotyledoneae_Gunneridae_Pentapetalae_Asteridae_Gentianidae_Garryidae_Lamiidae_Lamiales_Acanthaceae_Acanthaceae (type 1),100
Plantae_Tracheophyta_Spermatophyta_Angiospermae_Mesangiospermae_Eudicotyledoneae_Gunneridae_Pentapetalae_Asteridae_Gentianidae_Garryidae_Lamiidae_Lamiales_Acanthaceae_Acanthaceae subf. Acanthoideae_Acanthaceae (type 1) cf. Acanthus,100
Plantae_Tracheophyta_Spermatophyta_Angiospermae_Mesangiospermae_Eudicotyledoneae_Gunneridae_Pentapetalae_Asteridae_Gentianidae_Garryidae_Lamiidae_Lamiales_Acanthaceae_Acanthaceae subf. Acanthoideae,100
Plantae_Tracheophyta_Spermatophyta_Angiospermae_Mesangiospermae_Eudicotyledoneae_Gunneridae_Pentapetalae_Asteridae_Gentianidae_Garryidae_Lamiidae_Lamiales_Acanthaceae_Acanthaceae subf. Avicennioideae,100
